Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1, 0, 240, 9.431028338560001e-09
500, 1, 0.05, 240, 9.431028338499998e-09
500, 1, 0.1, 240, 9.431028338580001e-09
500, 1, 0.15, 240, 9.431028338582504e-09
500, 1, 0.2, 1001, 1.0347347051633143e-08
500, 1, 0.25, 88, 4.406403684799643e-09
500, 1, 0.3, 51, 3.0614209451667335e-09
500, 1, 0.35, 36, 2.513432338761842e-09
500, 1, 0.4, 28, 2.2159453268193306e-09
500, 1, 0.45, 23, 2.0552058387945316e-09
500, 1, 0.5, 23, 2.055205838819637e-09
500, 1, 0.55, 23, 2.0552058387945316e-09
500, 1, 0.6, 23, 2.0552058387945316e-09
500, 1, 0.65, 23, 2.0552058387945316e-09
500, 1, 0.7, 23, 2.0552058387945316e-09
500, 1, 0.75, 23, 2.0552058387945316e-09
500, 1, 0.8, 23, 2.0552058387945316e-09
500, 1, 0.85, 23, 2.0552058387945316e-09
500, 1, 0.9, 23, 2.0552058387945316e-09
500, 1, 0.95, 23, 2.0552058387945316e-09
500, 1, 1, 23, 2.055205838794282e-09
