Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.5, 0, 93, 6.2410678627850015e-09
500, 1.5, 0.05, 93, 6.2410678627850015e-09
500, 1.5, 0.1, 133, 7.065763810956959e-09
500, 1.5, 0.15, 103, 4.160515892432394e-09
500, 1.5, 0.2, 57, 3.0290032487311595e-09
500, 1.5, 0.25, 39, 2.599562651344591e-09
500, 1.5, 0.3, 30, 2.375077135746319e-09
500, 1.5, 0.35, 27, 2.294799657623367e-09
500, 1.5, 0.4, 27, 2.294799657623367e-09
500, 1.5, 0.45, 27, 2.294799657623367e-09
500, 1.5, 0.5, 27, 2.2947996575905024e-09
500, 1.5, 0.55, 27, 2.294799657623367e-09
500, 1.5, 0.6, 27, 2.294799657623367e-09
500, 1.5, 0.65, 27, 2.294799657623367e-09
500, 1.5, 0.7, 27, 2.294799657623367e-09
500, 1.5, 0.75, 27, 2.294799657623367e-09
500, 1.5, 0.8, 27, 2.294799657623367e-09
500, 1.5, 0.85, 27, 2.294799657623367e-09
500, 1.5, 0.9, 27, 2.294799657623367e-09
500, 1.5, 0.95, 27, 2.294799657623367e-09
500, 1.5, 1, 27, 2.294799657590975e-09
