Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1, 0, 149, 1.5900393320650003e-08
500, 1, 0.05, 149, 1.5900393320029998e-08
500, 1, 0.1, 149, 1.5900393320115e-08
500, 1, 0.15, 149, 1.590039332036e-08
500, 1, 0.2, 149, 1.5900393319885006e-08
500, 1, 0.25, 149, 1.5900393320735004e-08
500, 1, 0.3, 1001, 1.6795444798235804e-08
500, 1, 0.35, 113, 8.436789379458465e-09
500, 1, 0.4, 113, 8.436789379353251e-09
500, 1, 0.45, 113, 8.436789379353251e-09
500, 1, 0.5, 113, 8.436789379341709e-09
500, 1, 0.55, 113, 8.436789379353251e-09
500, 1, 0.6, 113, 8.436789379353251e-09
500, 1, 0.65, 113, 8.436789379353251e-09
500, 1, 0.7, 113, 8.436789379353251e-09
500, 1, 0.75, 113, 8.436789379353251e-09
500, 1, 0.8, 113, 8.436789379353251e-09
500, 1, 0.85, 113, 8.436789379353251e-09
500, 1, 0.9, 113, 8.436789379353251e-09
500, 1, 0.95, 113, 8.436789379353251e-09
500, 1, 1, 113, 8.43678937942486e-09
